x,y,t
0.111,0.015,-0.254
-0.008,0.043,0.000
0.111,0.052,-0.345
0.184,0.189,-0.494
-0.008,-0.077,0.003
0.074,0.079,-0.207
-0.008,-0.067,0.183
-0.063,-0.031,0.318
0.148,0.107,-0.531
0.084,-0.022,-0.110
0.267,0.244,-0.824
0.230,0.107,-0.783
0.157,0.171,-0.578
0.056,0.070,-0.305
-0.283,-0.067,0.680
-0.200,-0.095,0.542
0.249,0.162,-0.850
-0.118,-0.067,0.302
-0.072,-0.003,0.112
-0.127,-0.086,0.515
0.010,-0.040,-0.065
0.111,-0.003,-0.157
-0.136,-0.122,0.405
0.230,0.116,-0.798
-0.246,-0.077,0.749
-0.017,0.033,0.036
-0.026,0.043,-0.052
0.129,0.043,-0.325
0.019,-0.040,-0.099
-0.246,-0.104,0.632
-0.081,-0.058,0.255
0.157,0.098,-0.531
-0.219,-0.095,0.537
0.111,0.070,-0.388
-0.081,-0.012,0.150
0.084,0.088,-0.272
0.084,-0.040,-0.147
0.212,0.088,-0.622
0.084,0.070,-0.358
-0.210,-0.077,0.770
0.166,0.153,-0.636
0.203,0.088,-0.737
-0.228,-0.095,0.610
0.120,0.079,-0.400
0.047,-0.067,-0.055
0.038,0.070,-0.215
0.084,-0.003,-0.281
0.230,0.189,-0.812
0.084,0.033,-0.273
-0.255,-0.205,0.750
-0.054,-0.095,0.348
0.239,0.180,-0.862
-0.136,-0.141,0.465
0.102,-0.012,-0.155
0.184,0.162,-0.601
0.129,0.033,-0.249
-0.008,-0.077,0.003
-0.008,-0.031,0.041
-0.155,-0.132,0.449
0.111,0.006,-0.262
0.093,-0.031,-0.180
-0.081,-0.086,0.265
-0.100,-0.104,0.373
0.047,-0.031,-0.161
-0.338,-0.223,0.842
-0.191,-0.104,0.463
-0.054,0.006,0.070
-0.292,-0.077,0.696
0.184,0.153,-0.604
-0.026,0.043,-0.079
0.148,0.107,-0.531
0.129,0.098,-0.350
-0.100,-0.104,0.500
-0.173,-0.086,0.540
-0.210,-0.104,0.499
-0.155,-0.095,0.414
0.139,0.070,-0.303
0.258,0.180,-0.788
0.120,0.024,-0.223
0.001,-0.012,-0.036
-0.090,-0.113,0.358
-0.026,0.043,0.008
-0.045,-0.095,0.348
0.175,0.107,-0.627
-0.155,-0.122,0.427
-0.008,-0.040,-0.029
0.102,-0.012,-0.215
0.249,0.107,-0.751
0.276,0.290,-0.893
-0.246,-0.095,0.630
0.139,0.052,-0.362
0.093,-0.012,-0.286
-0.036,-0.012,0.110
0.102,0.015,-0.164
0.139,0.043,-0.368
0.230,0.107,-0.567
0.239,0.235,-0.837
0.111,0.006,-0.249
0.093,0.024,-0.260
0.019,0.061,-0.180
0.093,-0.022,-0.188
0.120,0.070,-0.442
-0.219,-0.086,0.552
0.175,0.180,-0.708
0.239,0.244,-0.837
0.184,0.079,-0.471
0.084,-0.003,-0.114
0.139,0.070,-0.303
-0.100,-0.095,0.326
-0.255,-0.132,0.708
0.239,0.088,-0.679
0.010,0.033,0.077
0.111,0.033,-0.213
0.276,0.125,-0.850
0.056,-0.040,0.068
0.175,0.180,-0.708
-0.036,0.024,0.002
0.267,0.134,-0.763
0.056,-0.040,-0.064
0.056,0.088,-0.121
0.010,0.024,-0.040
-0.017,-0.095,0.462
0.084,0.015,-0.271
0.267,0.262,-0.876
0.184,0.107,-0.365
0.221,0.070,-0.537
-0.292,-0.196,0.730
0.093,0.079,-0.277
-0.054,-0.095,0.348
-0.036,-0.040,0.089
-0.155,-0.132,0.643
-0.090,-0.095,0.260
0.056,-0.040,-0.064
-0.118,-0.113,0.350
0.212,0.098,-0.743
-0.182,-0.086,0.591
-0.200,-0.086,0.660
0.120,0.088,-0.484
0.249,0.098,-0.707
-0.191,-0.104,0.519
0.267,0.125,-0.593
0.120,0.024,-0.223
0.221,0.098,-0.807
-0.109,-0.113,0.449
-0.118,-0.067,0.276
0.221,0.153,-0.780
-0.063,-0.086,0.212
-0.100,-0.095,0.286
0.212,0.098,-0.743
-0.017,-0.031,0.046
-0.145,-0.113,0.457
-0.090,-0.086,0.288
0.056,-0.040,-0.025
0.175,0.143,-0.619
-0.283,-0.196,0.702
0.221,0.107,-0.542
0.056,0.070,-0.305
0.093,-0.012,-0.109
0.074,-0.003,-0.250
-0.191,-0.104,0.519
-0.100,-0.104,0.373
-0.200,-0.095,0.654
-0.173,-0.141,0.491
-0.145,-0.095,0.410
0.212,0.116,-0.744
-0.182,-0.077,0.542
0.010,-0.003,-0.050
0.038,0.033,-0.094
0.267,0.134,-0.836
0.258,0.116,-0.816
0.111,0.024,-0.227
0.267,0.134,-0.763
-0.008,-0.058,-0.026
-0.045,0.006,0.287
0.194,0.162,-0.480
-0.191,-0.086,0.681
-0.081,-0.003,0.141
-0.265,-0.186,0.682
0.129,0.033,-0.312
-0.100,-0.095,0.509
-0.200,-0.077,0.630
-0.292,-0.186,0.893
0.221,0.107,-0.542
-0.200,-0.095,0.679
0.001,0.015,-0.020
0.184,0.171,-0.551
0.221,0.143,-0.761
0.203,0.171,-0.749
0.120,0.088,-0.389
0.129,0.079,-0.300
0.111,0.015,-0.268
-0.127,-0.104,0.400
-0.255,-0.067,0.626
-0.191,-0.168,0.612
0.184,0.107,-0.365
0.084,-0.003,-0.259
0.111,0.052,-0.369
0.102,0.070,-0.312
-0.118,-0.077,0.429
-0.109,-0.086,0.463
-0.155,-0.122,0.512
0.212,0.088,-0.686
-0.017,-0.095,0.176
0.285,0.253,-0.903
0.239,0.198,-0.864
-0.045,0.006,0.044
-0.127,-0.104,0.400
-0.182,-0.077,0.608
0.120,0.006,-0.251
0.148,0.088,-0.524
-0.109,-0.122,0.406
-0.246,-0.196,0.666
-0.191,-0.095,0.599
0.239,0.226,-0.830
-0.200,-0.058,0.601
0.267,0.116,-0.735
0.276,0.134,-0.852
0.249,0.098,-0.615
0.212,0.198,-0.814
-0.164,-0.086,0.651
-0.127,-0.077,0.330
0.120,0.061,-0.384
0.221,0.079,-0.608
-0.182,-0.095,0.496
0.212,0.189,-0.607
0.184,0.162,-0.483
0.184,0.079,-0.517
0.166,0.143,-0.484
-0.329,-0.196,0.825
0.111,0.015,-0.268
-0.155,-0.095,0.577
-0.191,-0.104,0.578
0.212,0.088,-0.665
-0.109,-0.113,0.377
-0.274,-0.077,0.669
-0.182,-0.095,0.701
-0.182,-0.086,0.591
0.120,0.107,-0.500
0.221,0.198,-0.723
-0.127,-0.067,0.301
0.093,-0.040,-0.106
-0.255,-0.077,0.804
0.276,0.107,-0.806
-0.283,-0.186,0.732
-0.182,-0.067,0.558
0.221,0.070,-0.629
-0.072,0.006,0.079
0.065,-0.031,-0.103
0.194,0.079,-0.695
0.267,0.116,-0.832
0.065,0.061,-0.300
-0.219,-0.177,0.656
-0.036,0.006,0.157
0.239,0.070,-0.655
0.166,0.153,-0.502
0.148,0.171,-0.657
0.120,-0.003,-0.234
0.120,-0.003,-0.255
0.166,0.153,-0.478
-0.054,0.033,0.012
0.203,0.153,-0.494
0.120,0.015,-0.209
0.184,0.189,-0.494
-0.100,-0.049,0.311
-0.008,-0.022,0.009
0.139,0.088,-0.511
0.239,0.079,-0.505
0.221,0.162,-0.596
0.139,0.098,-0.492
0.239,0.098,-0.729
-0.200,-0.159,0.678
-0.118,-0.095,0.319
0.184,0.180,-0.642
-0.191,-0.077,0.622
-0.164,-0.122,0.569
0.230,0.088,-0.553
-0.026,-0.077,0.031
-0.292,-0.196,0.858
-0.045,-0.012,0.126
0.230,0.226,-0.897
-0.155,-0.095,0.539
0.120,0.015,-0.273
-0.026,-0.022,0.017
0.102,0.079,-0.240
0.148,0.125,-0.365
0.084,0.079,-0.176
-0.090,-0.104,0.362
0.276,0.143,-0.893
0.267,0.143,-0.830
0.001,0.043,-0.121
-0.017,0.033,-0.077
0.001,0.033,-0.101
