x,y,t,p
738,54,73576,0
714,53,73652,0
714,51,73656,0
715,53,73739,0
714,52,73752,0
715,52,73850,0
713,52,74026,0
714,54,74039,0
714,53,74065,0
730,42,74679,1
717,56,75311,0
701,64,75797,0
717,57,76066,0
716,54,77004,0
714,56,77146,1
718,56,77794,0
714,55,78350,1
713,52,78731,1
713,53,78941,1
713,52,78966,1
713,54,78994,1
714,55,79136,1
714,54,79140,1
714,56,79161,1
713,55,79247,1
714,53,79275,1
714,54,79287,1
713,54,79296,1
714,54,79627,0
713,54,79639,0
713,52,79646,0
714,53,79722,0
713,53,79743,0
715,54,79846,0
713,55,80512,0
714,55,80529,0
714,54,81644,0
717,57,82410,1
715,56,82563,1
714,57,82825,1
713,54,84047,0
713,56,84640,1
712,53,84816,1
713,55,84921,1
712,54,85017,1
713,54,85372,1
712,54,85633,0
712,53,85725,0
715,55,86522,0
713,55,87499,0
713,57,89497,1
713,58,90584,1
711,55,90945,1
712,55,91069,1
712,54,91141,1
711,55,91682,0
715,56,91942,0
712,55,91985,0
714,56,92591,0
713,56,93485,0
715,59,93998,0
715,58,94123,0
714,55,95943,0
711,55,97069,1
711,56,97161,1
711,57,97426,1
713,57,97722,0
711,55,97942,0
711,56,98016,0
704,64,98166,0
711,57,98424,0
714,57,98971,0
721,48,100493,0
714,60,101051,0
713,59,101182,1
714,56,102511,0
712,59,102725,1
710,56,103119,1
710,57,103130,1
711,57,103327,1
711,56,103342,1
710,56,103732,0
712,60,103754,1
710,57,104184,0
721,51,104236,0
711,56,104804,0
713,58,106133,0
712,61,107910,1
709,58,109311,1
710,58,109345,1
710,57,109353,1
709,58,109917,0
710,57,110425,0
710,58,110520,0
712,59,112268,0
713,59,115343,0
709,59,115500,1
709,58,115512,1
712,60,116481,0
709,58,116640,0
709,59,116849,0
712,61,120898,0
712,64,122871,0
712,65,124511,0
714,64,124697,0
713,64,124854,0
713,63,124879,0
712,63,124966,0
712,62,125992,0
712,64,126032,0
711,64,126367,0
711,65,126403,0
715,64,126735,0
712,65,127223,0
715,64,127325,1
711,66,129074,0
711,65,129269,0
719,49,129595,0
711,63,129694,0
711,64,129977,0
710,64,130796,0
710,65,131483,0
714,66,131775,0
714,67,132095,0
711,66,132271,0
712,64,132305,1
712,64,132305,1
709,65,132395,0
712,66,132592,0
719,50,132622,0
715,66,132978,0
708,64,133369,0
710,64,133454,0
712,64,134017,1
712,64,134017,1
710,66,134023,0
713,65,134221,0
711,66,134698,0
711,67,134914,0
711,64,135161,1
712,67,135771,0
710,64,135988,1
712,65,136317,1
711,67,137149,0
711,65,137284,1
709,66,137740,0
711,63,138141,1
710,67,138277,0
713,65,138345,1
711,64,138532,1
711,68,138672,0
710,65,139013,1
713,64,139066,1
713,67,139090,0
712,67,139162,0
713,66,139776,0
711,67,140148,0
712,68,140346,0
711,68,140845,0
712,64,141259,1
711,65,141506,1
710,68,141603,0
710,64,142492,1
711,66,142654,1
711,69,142698,0
709,66,142848,1
711,68,143068,0
710,68,143849,0
709,65,143975,1
710,69,144051,0
709,68,144093,0
711,67,144330,1
711,67,144330,1
714,69,144547,1
712,68,144932,0
712,67,145008,1
710,66,145076,1
704,64,145170,1
712,66,145224,1
713,68,145270,0
711,69,145332,0
711,67,146382,1
710,69,146866,0
711,68,147706,1
709,69,147978,0
713,67,148336,1
