x,y,t,p
237,95,638397,1
236,94,638463,1
236,93,638560,1
237,94,638581,1
238,95,638714,1
237,95,638910,0
236,94,638964,0
235,94,638974,0
238,97,639149,1
238,96,639163,1
237,96,639231,1
237,96,639669,0
237,96,639669,0
236,95,639710,0
237,94,639836,0
238,96,640557,0
236,93,640933,0
236,94,642228,1
236,93,642352,1
237,94,642353,1
238,95,642459,1
238,94,642515,1
237,93,642532,1
238,96,643139,1
239,96,643328,1
237,94,643789,0
236,94,644014,0
236,94,646290,1
237,94,646308,1
237,94,647750,0
236,97,647939,0
238,96,649515,0
237,94,650416,1
239,95,650495,1
238,94,650513,1
239,94,650544,1
238,94,650838,0
237,94,651334,0
240,96,651476,1
239,94,651822,0
240,96,652335,0
239,94,654484,1
238,94,654568,1
238,93,654644,1
239,93,654741,1
240,94,654760,1
238,94,654904,0
237,96,655228,0
239,93,655289,0
240,96,655592,1
236,93,656325,0
238,93,656400,0
239,94,656469,0
240,96,656793,0
239,95,657161,0
239,94,658464,1
239,93,658486,1
240,95,658630,1
238,93,658661,1
239,94,659310,0
238,95,659450,0
236,94,660389,0
240,93,662893,1
240,93,663322,0
238,97,665089,0
237,95,666360,0
240,93,666891,1
240,93,667367,0
237,93,668136,0
240,93,671145,1
240,93,671542,0
240,93,674985,1
242,93,679566,1
240,95,681027,0
