x,y,t,p
22,55,92155,1
23,54,92216,1
21,53,92744,0
24,56,93091,0
22,55,93588,1
25,57,93639,0
23,54,93694,1
22,53,94145,0
24,54,94350,1
23,56,94401,1
25,56,94619,0
26,57,94913,0
23,55,95083,1
24,54,95849,1
23,56,96453,1
23,55,96537,1
26,58,96540,0
26,57,96696,0
26,56,96799,0
23,54,97137,0
24,56,97415,1
24,57,97623,1
27,57,97898,0
25,56,98179,0
25,54,98280,1
24,56,98711,1
27,58,99150,0
24,55,99513,1
27,57,99848,0
26,56,99923,0
24,56,100011,1
24,54,100413,0
23,57,100548,1
25,57,100777,1
25,56,100953,1
23,52,101228,1
27,58,101597,0
28,57,101650,0
28,58,102114,0
25,56,102236,1
23,53,102527,0
26,55,102753,1
27,56,102762,0
26,54,102935,1
24,54,102958,0
25,57,102969,1
27,57,103795,0
25,56,103837,1
26,58,104381,1
26,57,104611,1
29,58,104909,0
27,55,105043,1
26,56,105276,1
27,58,105370,1
28,57,105435,0
29,57,105462,0
26,57,105860,1
26,56,106611,1
29,58,106852,0
27,57,106921,1
29,59,107629,0
25,54,107766,0
26,56,107821,1
26,57,107868,1
30,58,107959,0
27,57,108077,1
27,56,108448,1
26,56,108485,1
26,56,108847,0
25,53,109103,1
29,57,109419,0
30,59,109462,0
26,55,109482,0
30,58,110020,0
26,56,110084,0
28,55,110415,1
31,58,111342,0
27,57,111412,1
30,57,111473,0
31,59,112033,0
29,56,112471,1
28,57,112481,1
27,54,113833,1
31,58,113988,0
28,57,114129,1
26,53,114379,1
28,58,114614,1
29,58,114677,1
32,59,115086,0
32,58,115566,0
30,56,116014,1
25,53,116026,0
27,55,116029,0
29,57,116358,1
29,58,116451,1
29,59,117698,1
32,59,117770,0
31,59,117984,0
33,59,118273,0
30,56,118849,1
32,60,119160,0
26,54,119163,0
30,57,119342,1
30,58,119347,1
31,56,119361,1
33,60,119768,0
28,54,120062,1
29,56,120177,0
33,59,120285,0
30,59,120396,1
31,57,120870,1
29,55,120982,1
33,58,121470,0
34,59,121485,0
31,59,121698,1
30,58,121804,1
30,56,122142,0
32,58,122224,0
31,58,122631,1
32,57,122680,1
34,60,122681,0
32,56,123251,1
32,57,123996,1
27,54,124087,0
31,58,124399,1
28,55,124796,0
35,59,124877,0
30,55,124911,1
29,54,125011,1
32,58,125124,1
35,60,125132,0
33,57,125169,1
34,59,125243,0
32,59,125580,1
32,60,126363,1
28,54,126695,0
26,53,126732,0
33,57,126735,1
32,58,126755,1
35,60,127719,0
36,60,127895,0
34,57,128207,1
33,58,128529,1
32,57,128702,0
33,59,128783,1
29,55,128907,0
31,55,129015,1
34,57,129871,1
36,60,129949,0
35,59,130167,0
36,61,130426,0
36,59,130854,0
37,60,131006,0
33,59,131137,1
34,60,131245,1
33,57,131571,0
31,56,131859,0
34,59,132160,1
37,61,132711,0
35,57,132722,1
35,58,132736,1
35,60,132891,1
33,56,133420,1
34,60,133807,1
37,60,133923,0
30,55,134034,0
38,60,134081,0
37,59,134282,0
34,59,134341,1
35,60,134524,1
38,61,134668,0
33,57,134864,0
35,59,135243,1
32,55,135310,1
35,58,135349,1
36,58,135520,1
35,60,136692,1
35,59,136815,1
38,61,136956,0
36,58,137336,1
36,60,137437,1
39,61,137454,0
34,57,137464,0
39,60,137515,0
37,58,138266,1
36,61,138301,1
29,54,138323,0
35,58,138780,0
38,60,139030,0
39,61,139500,0
36,59,139673,1
31,55,139809,0
40,61,139852,0
36,60,140227,1
37,61,140421,1
37,60,140591,1
32,56,140724,0
40,60,140787,0
34,57,140858,0
40,61,141396,0
36,57,141439,1
34,56,141759,1
37,60,142049,1
38,61,142091,1
37,58,142466,1
37,59,142588,1
38,58,142811,1
40,62,143152,0
41,61,143198,0
36,58,143247,0
38,60,143592,1
40,61,144364,0
33,56,144624,0
35,57,144659,0
41,60,144771,0
41,61,145056,0
38,60,145374,1
41,62,145616,0
36,58,146065,0
39,59,146157,1
42,61,146416,0
39,61,146579,1
32,55,146739,0
37,58,147192,0
35,56,147711,1
40,59,147929,1
42,62,148241,0
39,60,149157,1
43,61,149227,0
41,59,149404,1
40,61,149516,1
37,58,149625,0
37,59,149845,0
43,62,149917,0
42,61,151434,0
43,61,151497,0
43,62,151574,0
40,61,151763,1
39,58,152005,1
34,56,152496,0
38,58,152809,0
40,60,152841,1
41,59,152873,1
44,61,152882,0
44,62,153120,0
39,59,153345,0
37,57,153639,1
41,61,153768,1
43,60,154105,1
42,59,154786,1
39,58,154878,0
44,62,154995,0
41,62,155552,1
45,62,155690,0
36,57,156076,0
41,61,156230,1
45,61,156638,0
42,61,156647,1
44,60,156726,1
38,57,156733,1
40,59,157210,0
45,62,157645,0
35,56,158013,0
42,61,158274,1
46,62,159019,0
40,59,159340,0
42,62,159366,1
43,62,160007,1
46,63,160430,0
45,60,160569,1
43,61,161051,1
41,59,161079,0
46,62,161280,0
47,62,161779,0
43,59,161965,1
44,62,162340,1
47,63,162894,0
41,59,163006,0
46,60,163125,1
40,58,163635,1
37,57,163794,0
48,62,164191,0
42,59,164224,0
38,57,164509,0
42,60,164837,0
43,60,165096,0
41,58,165153,1
48,63,165593,0
45,62,166030,1
40,58,167059,0
43,59,167258,0
49,63,167556,0
49,62,167629,0
46,62,167678,1
47,62,167814,0
45,61,167951,1
44,60,168442,0
48,61,168747,1
46,63,168983,1
49,63,169295,0
46,62,169363,1
47,60,170114,1
50,63,170523,0
47,62,170732,1
46,60,170744,1
48,62,171121,0
50,62,171365,0
47,63,171704,1
44,60,171874,0
45,60,172089,0
50,63,172477,0
41,59,172746,1
47,62,172820,1
51,63,172850,0
49,61,173078,1
50,64,173256,0
51,63,174425,0
46,60,174496,0
48,62,175040,1
51,64,175141,0
48,63,175266,1
45,60,175401,0
52,63,175862,0
49,63,177028,1
46,60,177350,0
52,64,177496,0
48,62,177889,1
47,61,178423,0
52,63,178586,0
53,63,178760,0
47,60,178941,0
49,62,179522,1
49,61,179598,1
44,60,179683,1
50,63,179685,1
50,61,179818,1
53,64,180053,0
48,61,180322,0
53,63,181303,0
54,63,181954,0
50,62,181971,1
49,61,182237,0
51,61,182255,1
54,64,182378,0
50,63,182831,1
53,62,182847,1
50,61,183324,1
51,63,183515,1
52,61,183825,1
49,61,184147,0
45,60,184287,1
54,64,184838,0
52,62,184875,1
55,64,185397,0
51,62,185479,1
54,62,185561,1
52,63,185681,1
50,61,185790,0
51,63,186314,1
46,60,187259,1
49,61,187343,0
50,61,187584,0
52,64,187657,1
56,64,187817,0
52,63,188005,1
53,61,188650,1
52,62,188788,1
53,63,188942,1
55,62,189148,1
51,62,189226,0
51,61,189832,0
53,62,190043,1
56,64,190060,0
54,64,190236,1
52,62,190328,0
56,65,190535,0
57,64,190549,0
53,64,190988,1
52,62,191383,0
51,61,191436,0
57,65,192236,0
54,64,192297,1
56,62,192312,1
54,62,192942,1
49,61,193117,1
58,64,193503,0
53,62,193602,0
54,63,193633,1
52,62,193639,0
52,61,194031,0
58,65,194273,0
53,62,194771,0
55,64,195286,1
55,62,195833,1
59,64,196129,0
59,65,196359,0
56,64,196442,1
53,61,196444,0
54,62,196499,0
53,62,196688,0
57,62,197203,1
54,62,197477,0
58,63,197555,1
56,65,197581,1
56,64,197597,1
59,65,198081,0
60,65,198759,0
56,62,198785,1
54,62,199137,0
55,62,199252,0
56,63,199416,1
60,64,199920,0
57,63,199971,1
56,64,200193,1
60,65,200379,0
59,63,200687,1
55,62,200830,0
61,65,201273,0
61,64,201344,0
60,66,201516,0
57,64,201649,1
57,63,201791,1
56,63,202131,0
58,62,202195,1
56,62,202502,0
61,65,202701,0
55,62,202892,0
57,65,202907,1
58,64,203605,1
58,63,203876,1
62,65,203929,0
58,65,203969,1
61,66,204075,0
56,63,204133,0
57,63,204450,0
59,65,204609,1
56,62,204828,0
60,63,205273,1
53,62,205446,1
57,63,205497,0
62,65,205538,0
62,66,206132,0
63,65,206759,0
58,63,206925,0
62,64,207082,0
60,65,207279,1
59,63,207475,1
59,64,207696,1
63,66,208034,0
57,62,208192,0
58,63,208394,0
63,65,208448,0
58,62,208761,0
64,65,208920,0
60,66,209309,1
60,65,209421,1
59,63,209911,0
60,64,209920,1
61,63,210132,1
61,64,210256,1
61,66,210365,1
64,66,210462,0
62,64,210483,1
61,65,210543,1
64,65,210703,0
58,63,210734,0
59,63,211331,0
65,65,212456,0
65,66,212732,0
62,66,212897,1
59,63,213082,0
61,65,213630,1
62,65,213983,1
60,63,214041,0
65,66,215009,0
64,64,215047,1
62,63,215187,1
63,65,215272,1
66,66,215302,0
66,65,215727,0
65,64,216015,1
61,64,216192,0
60,63,216829,0
63,65,217085,1
66,66,217374,0
61,63,217414,0
63,66,217802,1
67,66,218146,0
63,64,218700,1
66,67,218780,0
64,65,218936,1
63,65,218937,1
67,67,219085,0
65,64,219200,1
58,63,219215,1
66,65,219487,1
66,64,219782,1
62,64,220242,0
64,66,220263,1
65,66,220298,1
68,66,220330,0
62,63,220827,0
63,64,221487,0
64,65,221789,1
65,66,222056,1
68,67,222186,0
59,63,222821,1
69,66,222837,0
69,67,223362,0
66,66,223577,1
63,64,223621,0
67,64,223626,1
65,65,224437,1
64,64,224438,0
69,66,225164,0
69,67,225343,0
70,66,225516,0
60,63,225892,1
66,66,226215,1
64,64,226219,0
70,67,226239,0
65,64,226517,0
66,67,227401,1
69,65,227806,1
71,66,228359,0
68,64,228424,1
71,67,228439,0
65,64,228698,0
70,65,228935,1
66,64,229972,0
68,67,230495,1
71,67,230620,0
71,68,230656,0
72,67,230770,0
68,66,231174,1
67,66,231233,1
62,64,231296,1
68,65,231373,1
69,67,231984,1
71,65,232078,1
66,65,232143,0
67,65,232445,0
72,68,232746,0
69,66,232867,1
72,67,232941,0
73,67,233099,0
68,66,233277,1
67,64,233645,0
66,64,233818,0
63,64,233875,1
68,65,233943,0
73,68,234266,0
73,67,235228,0
64,64,235376,1
68,65,235525,0
74,67,235832,0
71,67,235945,1
70,67,236064,1
74,68,236242,0
68,64,236349,0
69,65,236948,0
71,67,237749,1
75,67,238031,0
74,68,238166,0
69,65,238581,0
74,67,238744,0
75,68,238771,0
72,67,238800,1
65,64,239861,1
75,67,240083,0
70,65,240239,0
71,66,240571,1
72,67,240583,1
72,68,240613,1
76,67,240998,0
76,68,241084,0
73,67,241473,1
74,66,241527,1
66,64,241957,1
74,67,241980,1
75,68,242004,0
73,66,242053,1
76,68,242644,0
66,65,242802,1
74,66,242820,1
71,65,243160,0
71,66,243175,0
73,67,243224,1
75,66,243510,1
77,68,243518,0
73,68,243651,1
74,68,243817,1
77,67,243928,0
74,67,244612,1
77,68,244975,0
75,68,245643,1
78,68,245721,0
75,67,245808,1
72,66,246377,0
77,69,246654,0
78,67,246750,0
78,68,247139,0
73,66,247277,0
75,68,247598,1
71,65,247739,0
78,69,247810,0
79,68,248524,0
76,66,248731,1
73,66,248911,0
77,67,248989,1
78,67,249271,1
76,68,249282,1
74,66,249619,0
77,66,249849,1
75,67,249942,1
76,67,249991,1
79,69,250263,0
70,65,250435,1
76,68,250532,1
80,68,251107,0
74,66,251291,0
77,68,252029,1
80,69,252180,0
78,66,252493,1
75,66,253201,0
79,67,253799,1
81,68,253846,0
81,69,253926,0
71,65,253996,1
77,68,254446,1
77,69,254781,1
80,67,254989,1
76,66,255448,0
81,69,255525,0
78,68,255692,1
78,69,255936,1
82,69,256517,0
75,66,256868,0
82,68,256876,0
76,66,257776,0
79,69,257865,1
81,67,258013,1
82,69,258525,0
77,66,258529,0
82,70,258684,0
83,69,258714,0
73,66,259705,1
82,67,259945,1
83,70,260195,0
83,69,260419,0
78,67,260714,0
84,69,261078,0
78,66,261159,0
82,68,261192,1
81,69,261993,1
79,67,262112,0
84,70,262123,0
80,68,262223,1
74,66,262586,1
75,66,262680,1
80,69,262729,1
83,67,262783,1
85,69,263416,0
79,67,263875,0
85,70,263928,0
82,69,264290,1
80,67,264953,0
81,68,264985,1
85,70,265563,0
84,69,265851,0
86,69,265989,0
86,70,266258,0
84,67,266530,1
82,69,266743,1
81,67,267094,0
83,69,267256,1
80,67,267653,0
86,70,268052,0
87,69,268135,0
87,70,268403,0
85,68,268438,1
82,70,268786,1
81,67,269059,0
84,69,269106,1
87,70,269826,0
87,71,270254,0
86,68,270506,1
88,70,270881,0
82,67,270972,0
88,69,271004,0
84,69,271034,1
85,70,271911,1
88,71,272785,0
89,70,272961,0
88,70,273222,0
86,70,273237,1
84,70,273417,1
83,68,273524,0
79,67,273578,1
83,67,273877,0
89,69,273952,0
85,69,274295,1
89,71,274435,0
89,70,274702,0
90,70,275425,0
86,70,275583,1
80,67,275598,1
84,68,275845,0
86,69,276101,1
87,70,276244,1
90,71,276571,0
87,68,276821,1
88,69,277074,1
85,68,277075,0
87,69,277196,1
91,70,277278,0
90,69,277315,0
88,68,277395,1
90,70,277401,0
89,69,278258,1
91,71,278378,0
88,70,278432,1
84,67,278435,0
