x,y,t,p
666,166,432880,1
663,165,435518,1
665,166,435689,1
670,165,435743,0
672,165,437823,0
665,165,439888,1
665,166,441173,1
669,165,441466,0
664,166,441526,1
666,166,444083,1
673,164,444515,0
678,163,445443,0
680,160,447487,0
648,164,450617,1
648,164,450618,1
672,164,450646,0
646,163,457782,1
668,164,458400,0
667,166,465087,1
666,166,465185,1
668,166,466690,1
647,163,466993,1
665,166,467456,1
666,166,472865,0
668,166,473980,0
665,166,474402,0
669,165,479436,0
670,164,481746,0
667,166,482057,0
668,165,482507,0
667,165,484100,0
666,165,485364,0
649,164,486546,0
665,165,486856,0
661,167,489352,1
665,166,489953,0
655,165,493660,1
666,164,495673,0
654,166,496040,1
655,166,496156,1
656,166,496304,1
660,167,497876,1
654,167,498736,1
654,167,500940,0
655,165,501179,0
655,166,501619,0
654,166,502155,0
659,167,503573,1
648,163,503808,1
648,164,506522,1
658,167,510055,1
648,164,510937,1
657,168,513663,1
657,167,516063,1
648,163,516464,1
656,168,516868,1
655,168,518536,1
660,167,521069,0
658,174,521829,0
648,164,523220,1
657,167,523250,1
654,168,534639,1
647,163,537966,0
667,163,539069,0
659,167,539716,0
653,168,539754,1
653,168,543250,1
657,168,543344,0
656,167,543505,1
652,169,543793,1
655,167,543799,1
652,168,544502,1
657,167,546994,0
655,166,547028,1
650,170,547042,1
652,168,547303,1
656,168,547505,0
658,167,547826,0
656,167,548611,0
651,169,548689,1
649,170,548690,1
655,165,549433,1
651,168,550108,1
656,164,550639,1
648,164,550829,0
650,169,551574,1
655,167,552160,0
650,168,554986,1
651,168,555735,1
655,168,558343,0
650,168,558795,1
649,169,559002,1
649,168,561995,1
648,169,563804,1
653,168,564999,0
648,168,567693,1
647,169,568646,1
652,168,571554,0
647,168,572048,1
650,170,572695,0
651,169,573173,0
651,168,573334,0
646,169,573622,1
647,168,576094,1
651,168,576419,0
648,167,576941,1
646,168,577400,1
650,166,577504,1
645,169,577682,1
648,164,577779,1
652,169,577794,0
649,167,578031,1
649,166,578222,1
650,168,579872,0
647,167,580360,1
648,166,580719,1
650,166,580899,0
650,169,580964,0
648,165,581321,1
649,164,581720,1
644,169,582611,1
649,167,582620,0
648,164,583295,0
648,163,583394,0
649,166,584456,0
649,169,584595,0
649,164,585060,0
648,164,585487,0
647,163,586379,0
649,168,586426,0
643,169,587078,1
