Unnamed: 0,nframe_71212104600,absframe_71212104600,x0_71212104600,y0_71212104600,area_71212104600,yadj_71212104600,flower_71212104600,visit_num_71212104600,sx_71212104600,sy_71212104600,speeds_71212104600
226,226,73524,1008.0,884.0,608.0,884.0,3.0,1.0,1007.3333333333334,883.6666666666666,0.6666666666666288
227,227,73525,1009.0,884.0,656.0,884.0,3.0,1.0,1008.0,883.6666666666666,1.0540925533894718
228,228,73526,1008.0,886.0,646.0,886.0,3.0,1.0,1008.3333333333334,884.6666666666666,1.0
229,229,73527,1011.0,884.0,669.0,884.0,3.0,1.0,1009.3333333333334,884.6666666666666,0.9428090415820902
230,230,73528,1011.0,886.0,587.0,886.0,3.0,1.0,1010.0,885.3333333333334,1.3333333333333712
231,231,73529,1012.0,886.0,660.0,886.0,3.0,1.0,1011.3333333333334,885.3333333333334,0.4714045207910048
232,232,73530,1010.0,885.0,677.0,885.0,3.0,1.0,1011.0,885.6666666666666,0.4714045207910048
233,233,73531,1010.0,885.0,637.0,885.0,3.0,1.0,1010.6666666666666,885.3333333333334,0.3333333333332575
234,234,73532,1011.0,886.0,660.0,886.0,3.0,1.0,1010.3333333333334,885.3333333333334,0.0
235,235,73533,1010.0,885.0,637.0,885.0,3.0,1.0,1010.3333333333334,885.3333333333334,0.3333333333332575
236,236,73534,1010.0,886.0,676.0,886.0,3.0,1.0,1010.3333333333334,885.6666666666666,0.7453559924999638
237,237,73535,1012.0,888.0,675.0,888.0,3.0,1.0,1010.6666666666666,886.3333333333334,1.4907119849998258
238,238,73536,1012.0,889.0,648.0,889.0,3.0,1.0,1011.3333333333334,887.6666666666666,1.201850425154642
239,239,73537,1012.0,889.0,640.0,889.0,3.0,1.0,1012.0,888.6666666666666,0.3333333333333712
240,240,73538,1012.0,889.0,612.0,889.0,3.0,1.0,1012.0,889.0,0.4714045207910853
241,241,73539,1011.0,888.0,625.0,888.0,3.0,1.0,1011.6666666666666,888.6666666666666,0.4714045207909245
242,242,73540,1011.0,888.0,643.0,888.0,3.0,1.0,1011.3333333333334,888.3333333333334,0.3333333333333712
243,243,73541,1012.0,888.0,629.0,888.0,3.0,1.0,1011.3333333333334,888.0,0.7453559924999129
244,244,73542,1013.0,889.0,620.0,889.0,3.0,1.0,1012.0,888.3333333333334,0.0
245,245,73543,1011.0,888.0,643.0,888.0,3.0,1.0,1012.0,888.3333333333334,0.6666666666666288
246,246,73544,1012.0,890.0,575.0,890.0,3.0,1.0,1012.0,889.0,0.3333333333333712
247,247,73545,1012.0,889.0,605.0,889.0,3.0,1.0,1011.6666666666666,889.0,0.4714045207910853
248,248,73546,1012.0,889.0,579.0,889.0,3.0,1.0,1012.0,889.3333333333334,0.7453559924999129
249,249,73547,1014.0,889.0,609.0,889.0,3.0,1.0,1012.6666666666666,889.0,0.4714045207910853
250,250,73548,1013.0,888.0,569.0,888.0,3.0,1.0,1013.0,888.6666666666666,0.6666666666666288
251,251,73549,1014.0,889.0,559.0,889.0,3.0,1.0,1013.6666666666666,888.6666666666666,0.6666666666666288
252,252,73550,1012.0,889.0,576.0,889.0,3.0,1.0,1013.0,888.6666666666666,1.4907119849999275
253,253,73551,1009.0,890.0,565.0,890.0,3.0,1.0,1011.6666666666666,889.3333333333334,1.490711984999775
254,254,73552,1010.0,891.0,577.0,891.0,3.0,1.0,1010.3333333333334,890.0,0.9428090415820902
255,255,73553,1010.0,891.0,592.0,891.0,3.0,1.0,1009.6666666666666,890.6666666666666,0.3333333333333712
256,256,73554,1010.0,890.0,567.0,890.0,3.0,1.0,1010.0,890.6666666666666,0.4714045207910048
257,257,73555,1011.0,890.0,531.0,890.0,3.0,1.0,1010.3333333333334,890.3333333333334,0.7453559924999638
258,258,73556,1011.0,889.0,561.0,889.0,3.0,1.0,1010.6666666666666,889.6666666666666,0.3333333333332575
259,259,73557,1010.0,889.0,512.0,889.0,3.0,1.0,1010.6666666666666,889.3333333333334,0.7453559924999129
260,260,73558,1009.0,889.0,545.0,889.0,3.0,1.0,1010.0,889.0,0.3333333333333712
261,261,73559,1010.0,889.0,545.0,889.0,3.0,1.0,1009.6666666666666,889.0,0.3333333333333712
262,262,73560,1011.0,889.0,549.0,889.0,3.0,1.0,1010.0,889.0,0.6666666666666288
263,263,73561,1011.0,889.0,574.0,889.0,3.0,1.0,1010.6666666666666,889.0,0.3333333333333712
264,264,73562,1011.0,889.0,568.0,889.0,3.0,1.0,1011.0,889.0,0.3333333333333712
265,265,73563,1010.0,889.0,545.0,889.0,3.0,1.0,1010.6666666666666,889.0,0.3333333333332575
