x,y,t,p
10,609,16574,0
7,607,16647,1
4,613,16671,0
4,607,16747,1
3,612,16761,0
10,613,16871,0
5,612,16900,0
3,609,16901,1
4,610,16926,1
3,610,16926,1
10,612,16971,0
11,613,16972,0
4,609,16975,1
8,612,16991,0
4,603,16998,1
9,612,17175,0
5,613,17191,0
7,609,17256,1
4,608,17270,1
5,607,17277,1
10,611,17308,0
6,607,17317,1
5,609,17327,1
2,610,17354,1
2,611,17361,1
8,607,17380,1
7,613,17436,0
12,612,17441,0
9,613,17459,0
4,612,17481,0
7,608,17557,1
5,610,17574,1
8,613,17584,0
6,614,17594,0
3,611,17603,1
9,611,17612,0
2,609,17618,1
6,610,17648,1
11,609,17664,0
8,614,17705,0
7,610,17730,1
7,614,17792,0
6,609,17803,1
4,610,17838,1
6,608,17879,1
4,611,17900,1
9,614,17928,0
5,611,17950,1
3,614,17961,0
7,611,17980,1
10,614,18036,0
5,608,18044,1
2,608,18063,1
8,608,18078,1
12,613,18135,0
11,614,18178,0
8,611,18188,1
11,613,18214,0
6,611,18228,1
4,614,18231,0
5,614,18283,0
11,612,18310,0
3,608,18312,1
4,613,18312,0
9,611,18386,1
10,613,18415,0
8,612,18417,1
7,609,18455,1
9,606,18467,0
8,609,18615,1
3,612,18658,1
9,610,18686,1
13,613,18700,0
7,606,18723,1
5,613,18748,0
1,609,18791,1
6,609,18889,1
9,612,18926,1
10,613,18932,1
12,611,18955,0
13,612,18957,0
11,611,19064,0
10,606,19100,0
11,606,19101,0
6,610,19105,1
11,607,19106,0
4,612,19107,1
10,607,19116,0
12,610,19162,0
12,607,19233,0
13,614,19233,0
8,615,19297,0
11,608,19316,0
12,614,19339,0
9,615,19371,0
9,613,19434,0
5,611,19462,1
7,608,19507,1
9,614,19541,0
8,614,19545,0
7,610,19561,1
10,614,19564,0
10,613,19573,0
4,611,19607,1
12,613,19617,0
11,613,19623,0
11,614,19632,0
7,609,19649,1
11,615,19662,0
10,615,19680,0
6,611,19707,1
5,615,19717,0
8,610,19722,1
8,609,19902,1
1,611,19913,1
12,615,20020,0
7,611,20041,1
14,614,20078,0
5,610,20162,1
4,615,20197,0
12,612,20244,0
7,612,20261,1
6,615,20317,0
4,609,20320,1
7,615,20341,0
13,615,20343,0
11,608,20372,1
6,614,20376,0
4,613,20403,1
13,611,20404,0
12,614,20407,0
11,606,20416,1
7,614,20423,0
10,607,20458,1
14,615,20463,0
11,607,20465,1
3,610,20522,1
9,609,20569,1
13,614,20664,0
6,613,20740,0
10,609,20776,1
11,614,20788,0
9,616,20831,0
8,610,20840,1
15,615,20840,0
12,616,20868,0
13,613,20908,0
10,616,20925,0
15,614,20937,0
9,615,20948,0
8,611,20985,1
14,613,21025,0
9,610,21037,1
11,616,21122,0
11,615,21260,0
6,616,21302,0
14,616,21308,0
4,611,21319,0
12,607,21332,1
8,609,21367,1
13,616,21382,0
10,615,21407,0
12,615,21502,0
10,611,21571,1
13,615,21601,0
9,611,21621,1
15,616,21626,0
7,616,21641,0
14,615,21647,0
8,616,21688,0
14,614,21751,0
10,610,21868,1
5,613,21901,1
8,608,21992,1
9,610,22036,1
13,614,22052,0
7,610,22068,1
8,615,22108,0
8,610,22124,1
5,609,22137,1
7,609,22140,1
8,611,22208,1
14,617,22261,0
15,615,22279,0
8,612,22281,1
13,617,22290,0
14,612,22298,0
12,616,22312,0
4,611,22312,1
10,617,22337,0
6,613,22361,1
11,611,22375,1
16,615,22383,0
1,610,22421,1
2,611,22439,1
5,612,22441,1
7,613,22463,1
14,616,22471,0
6,612,22482,1
11,617,22532,0
2,610,22556,1
7,612,22567,1
12,617,22585,0
11,616,22625,0
7,611,22689,1
9,611,22706,1
10,611,22709,1
1,612,22737,1
9,613,22759,1
12,615,22769,0
4,612,22771,1
10,613,22777,1
14,615,22782,0
2,612,22810,1
8,613,22838,1
10,616,22845,0
11,615,22849,0
13,616,22852,0
13,615,22961,0
6,614,23018,1
16,616,23073,0
15,616,23083,0
7,614,23115,1
3,612,23142,1
9,612,23204,1
15,614,23225,0
12,616,23238,0
7,613,23272,1
8,614,23280,1
8,612,23313,1
10,613,23336,1
10,612,23350,1
9,617,23359,0
9,614,23376,1
15,613,23399,0
8,617,23409,0
9,616,23426,0
15,617,23432,0
14,616,23457,0
8,616,23472,0
9,613,23506,1
3,611,23513,1
10,614,23613,1
11,614,23682,1
11,615,23728,1
14,609,23768,0
13,617,23824,0
14,617,23857,0
11,613,23865,1
13,618,23888,0
7,617,23889,0
11,612,23895,1
12,612,23912,1
12,615,23959,1
13,616,24013,0
16,617,24023,0
11,610,24079,1
12,617,24115,0
7,607,24131,1
11,615,24173,1
14,618,24211,0
10,608,24264,1
11,618,24284,0
8,613,24292,1
8,615,24369,1
15,610,24380,0
12,615,24395,1
10,615,24433,1
14,611,24447,0
9,614,24461,1
9,612,24478,1
15,612,24533,0
10,613,24548,1
12,618,24560,0
8,614,24568,1
15,611,24571,0
16,611,24574,0
15,618,24588,0
16,612,24638,0
4,605,24657,1
17,617,24731,0
17,611,24790,0
3,614,24815,1
4,614,24818,1
10,612,24823,1
8,618,24851,0
9,615,24924,1
15,616,24936,0
10,614,24940,1
5,613,24954,1
9,618,24975,0
11,617,24989,0
16,618,24993,0
15,617,25064,0
13,617,25071,0
14,616,25100,0
14,617,25104,0
10,618,25130,0
10,617,25155,0
15,615,25200,0
17,618,25227,0
13,618,25282,0
11,611,25385,1
16,614,25473,0
5,614,25596,1
10,615,25607,1
14,619,25634,0
13,619,25654,0
13,610,25663,0
8,615,25674,1
14,618,25742,0
17,616,25853,0
12,617,25870,0
9,617,25874,0
15,611,25922,1
13,618,25950,0
16,617,25955,0
12,619,25960,0
8,616,25994,1
12,618,26041,0
16,616,26048,0
13,617,26051,0
16,619,26098,0
12,613,26118,1
13,614,26139,1
15,619,26179,0
15,618,26179,0
13,613,26296,1
14,617,26349,0
11,613,26462,1
11,612,26524,1
12,612,26589,1
12,614,26608,1
16,611,26665,1
14,618,26673,0
17,619,26688,0
16,618,26697,0
11,619,26732,0
15,610,26743,1
17,618,26895,0
13,615,26947,1
11,618,26972,0
14,619,26981,0
17,615,27002,0
9,619,27023,0
13,619,27063,0
11,614,27070,1
10,619,27146,0
13,614,27199,1
12,613,27225,1
9,616,27257,1
17,617,27279,0
39,610,27326,0
15,620,27327,0
14,620,27331,0
12,616,27345,1
9,617,27383,1
10,616,27388,1
16,620,27407,0
13,613,27425,1
12,611,27464,1
16,619,27475,0
13,620,27552,0
12,614,27561,1
10,613,27593,1
15,618,27603,0
15,619,27603,0
18,618,27656,0
12,615,27731,1
11,615,27793,1
11,616,27875,1
12,620,27892,0
17,619,27922,0
14,619,28036,0
18,617,28118,0
7,615,28146,1
17,618,28169,0
13,614,28171,1
13,615,28217,1
13,616,28235,1
6,610,28238,1
6,615,28292,1
14,614,28333,1
13,618,28340,0
14,615,28359,1
17,620,28361,0
18,619,28380,0
9,620,28426,0
11,620,28442,0
12,616,28531,1
9,613,28538,1
16,619,28541,0
13,617,28548,1
10,617,28569,1
16,618,28579,0
10,620,28608,0
14,616,28608,1
11,617,28609,1
12,617,28627,1
18,616,28659,0
15,620,28688,0
11,616,28722,1
14,617,28733,1
15,619,28744,0
10,616,28746,1
16,620,28770,0
11,619,28786,0
12,619,28803,0
16,621,28810,0
9,617,28844,1
13,616,28895,1
9,615,28917,1
12,615,28924,1
13,619,29002,0
16,613,29017,0
17,612,29067,0
15,621,29084,0
14,620,29084,0
17,619,29097,0
18,620,29108,0
14,615,29163,1
13,615,29171,1
14,617,29214,1
14,621,29240,0
15,615,29247,1
14,613,29289,1
13,618,29290,1
15,614,29340,1
13,617,29368,1
14,616,29385,1
15,618,29395,1
15,619,29399,1
14,618,29498,1
15,616,29514,1
11,617,29541,1
16,618,29613,1
19,618,29669,0
19,620,29695,0
16,613,29704,1
19,619,29725,0
12,620,29775,0
9,616,29787,1
19,613,29801,0
18,614,29818,0
18,615,29875,0
13,616,29894,1
18,613,29937,0
11,621,29949,0
19,614,29953,0
12,617,29976,1
15,617,30037,1
3,601,30042,1
14,615,30048,1
16,619,30109,1
19,616,30117,0
17,619,30135,1
12,621,30146,0
17,621,30153,0
19,615,30167,0
19,617,30300,0
20,620,30350,0
14,616,30358,1
10,614,30390,1
12,618,30400,1
13,621,30453,0
13,620,30497,0
20,621,30513,0
21,620,30558,0
15,616,30563,1
18,621,30574,0
19,621,30586,0
16,621,30597,0
16,616,30668,1
17,620,30709,0
14,617,30712,1
20,619,30756,0
20,622,30757,0
11,618,30791,1
13,618,30824,1
12,616,30856,1
20,617,30966,0
21,621,31008,0
17,614,31022,0
15,615,31039,1
13,617,31091,1
7,616,31136,1
16,622,31271,0
18,620,31277,0
15,621,31286,0
14,621,31296,0
14,621,31296,0
14,620,31316,0
15,622,31328,0
12,622,31363,0
16,620,31370,0
13,621,31378,0
13,622,31386,0
17,621,31388,0
13,620,31390,0
17,622,31405,0
14,622,31411,0
19,620,31440,0
11,619,31510,1
18,622,31543,0
16,617,31543,1
19,614,31622,1
18,614,31728,1
19,622,31797,0
21,619,31991,0
15,618,32059,1
21,622,32119,0
11,622,32155,0
20,621,32323,0
20,622,32416,0
17,618,32480,1
20,620,32537,0
19,621,32540,0
16,623,32765,0
17,623,32780,0
16,618,32802,1
15,619,32836,1
19,623,32857,0
16,617,32882,1
20,623,32894,0
17,617,32906,1
15,623,32927,0
16,616,32928,1
15,617,33013,1
13,623,33023,0
18,623,33026,0
13,619,33036,1
12,623,33159,0
13,622,33213,0
14,618,33225,1
14,623,33275,0
14,621,33283,0
14,619,33295,1
21,623,33302,0
14,617,33379,1
20,622,33382,0
17,618,33413,1
16,617,33425,1
12,619,33445,1
21,621,33446,0
22,623,33449,0
14,622,33454,0
13,620,33470,1
22,621,33484,0
22,622,33528,0
19,622,33593,0
15,622,33665,0
19,624,33720,0
18,622,33755,0
18,617,33797,1
13,618,33802,1
17,619,33822,1
22,620,33830,0
16,620,33835,1
21,622,33894,0
17,620,33942,1
16,622,33953,0
15,619,33956,1
14,620,33957,1
12,618,33959,1
13,619,33972,1
18,618,33979,1
14,619,34009,1
16,619,34041,1
19,623,34165,0
20,624,34206,0
22,619,34291,0
18,620,34296,1
18,624,34299,0
14,620,34353,1
21,620,34356,0
9,619,34371,1
20,623,34389,0
15,620,34402,1
21,624,34470,0
17,621,34510,1
15,623,34518,0
23,622,34530,0
14,616,34534,1
16,620,34539,1
16,618,34544,1
23,623,34549,0
17,620,34552,1
14,621,34579,1
15,616,34624,1
21,623,34628,0
22,624,34646,0
18,623,34684,0
12,620,34702,1
14,618,34915,1
22,623,34927,0
18,622,34969,1
19,620,35001,1
18,621,35017,1
23,624,35033,0
14,624,35039,0
17,621,35088,1
19,622,35105,1
13,621,35152,1
19,621,35157,1
12,619,35271,1
16,621,35319,1
22,618,35382,0
21,618,35397,0
22,617,35425,0
23,617,35451,0
23,620,35459,0
15,618,35494,1
15,621,35551,1
18,620,35556,1
20,625,35612,0
23,621,35722,0
19,625,35747,0
17,624,35754,0
24,624,35767,0
19,622,35818,1
19,624,35823,0
23,619,35834,0
24,619,35887,0
13,620,35926,1
22,620,36017,0
24,623,36035,0
16,624,36037,0
14,622,36062,1
21,625,36110,0
22,625,36116,0
22,621,36145,0
23,625,36156,0
15,624,36175,0
22,624,36199,0
14,621,36204,1
24,625,36269,0
20,624,36279,0
19,615,36289,1
21,624,36308,0
13,622,36361,1
16,622,36436,1
23,623,36473,0
17,621,36477,1
15,622,36505,1
11,619,36534,1
18,619,36620,1
23,624,36787,0
16,621,36812,1
22,623,36824,0
20,626,36863,0
21,617,36886,0
18,625,36897,0
13,619,36901,1
18,624,36925,0
20,618,36936,0
21,626,37007,0
20,625,37053,0
13,621,37110,1
22,626,37165,0
20,620,37181,1
23,622,37243,0
22,618,37284,1
16,623,37317,0
23,626,37328,0
24,622,37335,0
25,624,37448,0
21,617,37471,1
19,619,37481,1
21,620,37569,1
16,621,37623,0
25,625,37640,0
21,625,37644,0
22,625,37644,0
22,624,37722,0
17,625,37739,0
4,602,37782,1
21,619,37803,1
24,624,37950,0
23,625,37951,0
19,620,37964,1
24,625,38010,0
24,626,38024,0
25,626,38089,0
15,623,38107,1
20,621,38107,1
16,623,38125,1
17,624,38131,0
16,617,38191,0
20,619,38206,1
20,620,38305,1
20,622,38423,1
19,626,38486,0
25,623,38513,0
19,619,38525,1
21,621,38542,1
19,620,38543,1
18,622,38555,1
17,619,38586,1
20,618,38593,1
19,618,38599,1
26,625,38600,0
16,617,38611,1
22,627,38618,0
14,622,38631,1
17,626,38634,0
18,626,38645,0
18,619,38672,1
17,618,38684,1
15,617,38716,1
19,621,38736,1
19,625,38746,0
17,620,38771,1
17,619,38796,1
23,626,38803,0
20,621,38816,1
18,620,38827,1
22,626,38833,0
22,621,38835,1
26,626,38850,0
14,620,38913,1
21,626,38926,0
22,620,38958,1
11,620,39019,1
17,622,39092,1
18,623,39093,1
23,627,39094,0
12,621,39100,1
17,619,39131,0
19,623,39160,1
21,622,39198,1
19,622,39250,1
24,626,39307,0
24,625,39356,0
20,623,39415,1
18,620,39434,0
24,627,39466,0
25,627,39513,0
19,620,39522,0
25,626,39544,0
11,621,39639,1
26,627,39676,0
17,624,39678,1
14,621,39708,1
18,624,39735,1
19,623,39753,1
23,626,39773,0
27,626,39793,0
25,625,39825,0
20,622,39835,1
20,624,39904,1
14,623,39921,1
23,625,39966,0
20,626,39973,0
20,623,39973,1
17,627,40025,0
15,622,40044,1
22,623,40092,1
21,627,40116,0
21,623,40127,1
18,627,40128,0
22,624,40207,1
20,627,40231,0
18,623,40284,1
14,619,40311,1
27,627,40349,0
21,624,40355,1
19,624,40373,1
26,624,40507,0
18,624,40566,1
23,625,40597,1
26,626,40610,0
