x,y,t,p
1243,52,14070,1
1242,51,14125,1
1237,53,14177,0
1237,52,14195,0
1244,52,14218,1
1243,51,14310,1
1237,51,14363,0
1241,53,14388,1
1242,52,14414,1
1241,52,14536,1
1236,53,14543,0
1236,52,14565,0
1241,51,14642,1
1236,51,14777,0
1240,52,14860,1
1236,50,14880,0
1235,51,14895,0
1234,52,14910,0
1237,50,14949,0
1237,50,14949,0
1240,51,14951,1
1235,50,14952,0
1235,52,14953,0
1240,53,15157,1
1234,51,15176,0
1234,50,15274,0
1234,50,15275,0
1233,52,15299,0
1239,53,15313,1
1239,52,15343,1
1238,53,15412,1
1233,50,15455,0
1233,51,15463,0
1233,51,15464,0
1239,51,15473,1
1239,54,15514,1
1235,49,15532,0
1232,51,15535,0
1234,49,15600,0
1238,52,15640,1
1232,52,15643,0
1237,53,15687,1
1232,50,15691,0
1237,52,15788,1
1238,51,15814,1
1233,49,15938,0
1231,51,16030,0
1237,50,16047,1
1232,51,16058,0
1236,53,16150,1
1236,51,16162,1
1231,50,16165,0
1232,49,16175,0
1236,50,16216,1
1237,51,16216,1
1231,52,16285,0
1235,49,16301,1
1229,52,16395,0
1236,52,16466,1
1235,50,16475,1
1235,52,16492,1
1230,51,16502,0
1230,52,16522,0
1235,51,16584,1
1233,49,16634,1
1229,51,16699,0
1230,50,16748,0
1234,51,16854,1
1228,51,16894,0
1228,50,16913,0
1234,50,16924,1
1229,50,16953,0
1233,51,17017,1
1233,52,17043,1
1234,52,17056,1
1233,50,17106,1
1234,49,17136,1
1232,51,17142,1
1227,51,17155,0
1227,45,17164,1
1227,50,17193,0
1228,49,17266,0
1229,49,17368,0
1227,49,17376,0
1232,49,17390,1
1231,52,17424,1
1266,55,17435,1
1228,50,17446,0
1227,45,17488,0
1226,50,17490,0
1226,51,17533,0
1226,49,17573,0
1232,52,17590,1
1228,48,17650,0
1227,48,17708,0
1232,50,17743,1
1227,50,17744,0
1227,52,17796,0
1240,54,17814,1
1231,50,17823,1
