x,y,t,p
762,3,0,0
764,1,167,0
758,1,215,1
753,2,368,1
753,1,460,1
765,2,531,0
760,0,637,0
757,1,637,1
761,2,832,1
754,1,847,1
759,1,852,1
755,1,863,1
755,2,932,1
760,3,960,1
760,2,982,1
762,3,1007,1
762,2,1055,1
755,3,1083,1
753,3,1092,1
763,2,1145,1
762,1,1260,1
764,3,1264,1
763,3,1283,1
754,0,1297,1
763,2,1334,1
762,3,1334,1
762,2,1350,1
765,2,1353,1
764,2,1358,1
752,1,1361,1
764,4,1402,1
763,0,1410,1
761,2,1417,1
761,3,1421,1
764,1,1423,1
756,1,1424,1
762,4,1428,1
763,3,1432,1
762,3,1435,1
764,3,1437,1
756,2,1447,1
766,2,1452,1
767,0,1474,1
763,4,1489,1
765,3,1490,1
762,2,1504,1
753,0,1513,1
766,3,1517,1
766,1,1523,1
762,3,1527,1
753,1,1527,1
764,4,1528,1
762,4,1537,1
765,2,1538,1
767,1,1540,1
754,2,1544,1
767,2,1552,1
768,1,1552,1
765,4,1554,1
768,2,1556,1
766,2,1573,1
754,1,1576,1
764,3,1583,1
764,2,1584,1
763,5,1585,1
764,5,1608,1
765,3,1609,1
763,3,1615,1
753,2,1619,1
761,3,1622,1
766,0,1624,1
764,4,1629,1
766,3,1641,1
765,1,1645,1
766,1,1647,1
755,1,1655,1
767,3,1660,1
754,0,1661,1
763,4,1666,1
752,1,1666,1
767,2,1666,1
767,2,1666,1
752,0,1670,1
765,4,1673,1
767,1,1683,1
768,1,1695,1
768,1,1696,1
766,2,1707,1
767,0,1710,1
753,1,1711,1
754,1,1716,1
768,2,1719,1
765,2,1721,1
768,0,1730,1
750,1,1735,1
753,0,1737,1
751,0,1740,1
762,3,1757,0
752,2,1770,1
767,2,1779,1
754,2,1785,1
763,4,1795,0
763,4,1795,0
762,2,1798,0
768,1,1803,1
767,1,1808,1
750,2,1812,1
767,3,1812,1
752,1,1815,1
751,1,1817,1
762,4,1817,0
763,3,1817,0
753,2,1818,1
755,2,1825,1
755,2,1825,1
750,0,1836,1
755,0,1836,1
753,3,1836,1
751,2,1839,1
769,1,1853,1
766,1,1862,1
768,2,1863,1
769,0,1868,1
752,0,1872,1
754,3,1872,1
766,0,1880,1
751,3,1884,1
761,3,1888,0
755,1,1901,1
752,2,1904,1
752,1,1907,1
768,1,1909,1
764,4,1913,0
764,4,1913,0
767,0,1920,1
763,5,1925,0
754,2,1928,1
768,0,1937,1
763,2,1948,0
751,0,1955,1
753,1,1962,1
767,1,1962,1
751,1,1965,1
752,3,1967,1
753,3,1967,1
753,2,1970,1
755,2,1976,1
755,3,1983,1
753,4,1988,1
754,3,1990,1
752,1,1994,1
751,2,1996,1
754,1,1998,1
753,0,2011,1
753,0,2011,1
752,2,2020,1
750,1,2027,1
768,1,2031,1
765,4,2034,0
752,0,2035,1
750,0,2045,1
764,3,2055,0
754,2,2062,1
765,3,2065,0
763,4,2066,0
763,4,2067,0
766,3,2071,0
753,3,2073,1
752,1,2087,1
753,2,2088,1
764,4,2089,0
752,3,2091,1
751,1,2097,1
767,3,2101,0
754,4,2101,1
754,3,2116,1
753,1,2119,1
764,5,2124,0
752,2,2132,1
766,2,2138,0
763,3,2141,0
765,2,2146,0
751,0,2151,1
768,2,2163,0
762,3,2169,0
751,2,2174,1
752,1,2195,1
753,3,2199,1
753,2,2208,1
752,3,2212,1
767,2,2214,0
767,2,2214,0
766,1,2223,0
753,0,2231,1
767,1,2233,0
752,4,2242,1
768,1,2250,0
764,2,2256,0
752,0,2303,1
766,2,2310,0
765,3,2313,0
768,2,2335,0
765,2,2350,0
762,1,2353,0
751,2,2356,0
767,3,2360,0
766,3,2373,0
768,1,2377,0
767,2,2386,0
767,2,2387,0
753,3,2393,0
750,1,2402,0
752,1,2407,0
767,1,2414,0
769,1,2414,0
764,3,2426,0
754,3,2443,0
763,1,2469,0
752,2,2469,0
753,2,2469,0
751,1,2472,0
751,1,2472,0
752,3,2476,0
751,2,2492,0
754,2,2500,0
753,1,2506,0
754,1,2511,0
765,1,2513,0
768,0,2517,0
751,0,2530,0
751,0,2530,0
758,1,2535,1
750,0,2535,0
752,1,2536,0
753,3,2540,0
766,1,2542,0
763,0,2563,0
751,1,2569,0
752,0,2574,0
759,2,2583,1
752,2,2584,0
755,1,2589,0
753,2,2607,0
767,1,2608,0
755,2,2623,0
767,0,2632,0
750,1,2634,0
754,3,2640,0
752,3,2641,0
753,0,2642,0
753,1,2647,0
752,1,2657,0
751,0,2683,0
751,0,2683,0
754,2,2697,0
751,1,2719,0
752,0,2724,0
752,0,2724,0
764,1,2732,0
753,3,2733,0
768,0,2766,0
768,1,2792,0
752,1,2801,0
752,2,2809,0
754,1,2810,0
766,0,2813,0
752,0,2845,0
752,0,2845,0
753,2,2846,0
767,0,2854,0
769,0,2854,0
766,1,2874,0
753,1,2891,0
766,2,2935,0
753,0,2944,0
750,2,3011,0
754,0,3149,0
753,1,3150,0
761,0,3155,0
754,2,3160,0
754,1,3191,0
753,2,3197,0
753,0,3204,0
752,0,3252,0
754,0,3322,0
758,7,3326,1
762,3,3354,1
766,0,3373,0
755,0,3513,0
754,3,3613,0
755,1,3640,0
758,4,3776,0
763,1,3819,1
757,3,3960,0
762,1,4004,1
751,2,4443,0
755,4,4457,1
759,0,4507,0
763,0,4636,1
757,1,4898,1
758,2,5001,1
760,3,5211,1
759,2,5281,1
757,0,5474,0
758,1,5752,1
753,0,5809,1
755,1,5833,1
758,0,6888,0
764,4,6949,0
763,4,7063,0
765,4,7065,0
753,2,7074,1
756,2,7091,1
762,3,7137,0
763,3,7165,0
759,3,7208,1
754,3,7377,1
750,2,7449,1
752,1,7568,1
758,2,7635,1
755,3,7682,1
762,4,7702,0
755,2,8019,1
755,2,8019,1
754,2,8056,1
752,0,8133,1
753,1,8142,1
753,3,8324,1
759,0,8587,0
762,3,8683,1
762,4,8929,1
752,2,9037,1
761,3,9059,1
753,2,9065,1
763,3,9066,1
763,4,9092,1
754,3,9103,1
762,3,9170,1
760,2,9219,1
751,2,9243,1
757,4,9283,0
762,4,9319,1
761,2,9320,1
762,5,9322,1
762,3,9327,1
763,3,9341,1
764,4,9344,1
761,4,9345,1
752,2,9347,1
753,2,9357,1
752,1,9363,1
753,3,9376,1
749,2,9380,1
761,3,9383,1
761,1,9385,1
750,2,9385,1
755,2,9386,1
750,1,9399,1
762,2,9420,1
761,5,9421,1
763,5,9422,1
752,3,9426,1
753,1,9435,1
763,4,9443,1
754,2,9443,1
761,4,9444,1
