x,y,t,p
58,174,19882,1
57,176,19908,1
58,176,19926,1
59,174,19962,1
62,173,19994,0
61,175,20001,0
57,174,20065,1
60,174,20098,1
59,175,20114,1
59,176,20216,1
63,173,20236,0
62,174,20387,0
60,174,20496,1
64,173,20505,0
62,175,20529,0
63,173,20538,0
63,174,20553,0
58,175,20556,1
64,172,20763,0
61,175,20815,1
64,173,20816,0
61,174,20818,1
65,172,20905,0
60,175,20932,1
65,173,20935,0
59,175,20949,1
64,174,20962,0
62,174,21061,1
62,175,21105,1
66,172,21224,0
62,173,21237,1
63,173,21262,1
63,172,21286,0
66,173,21462,0
67,172,21474,0
64,173,21512,1
65,174,21531,0
63,173,21597,1
63,174,21618,1
67,171,21622,0
64,173,21755,1
64,174,21775,1
67,172,21787,0
68,172,21797,0
68,171,21941,0
67,173,21947,0
64,172,22052,1
65,174,22065,1
63,172,22092,1
65,173,22132,1
65,172,22148,1
69,171,22167,0
69,171,22167,0
68,172,22283,0
66,172,22328,1
69,172,22371,0
67,172,22408,1
70,171,22453,0
66,173,22466,1
68,173,22475,0
68,173,22475,0
70,170,22618,0
68,171,22667,1
67,172,22717,1
71,171,22755,0
69,170,22781,0
67,173,22837,1
71,170,22891,0
68,172,22907,1
70,172,22916,0
72,170,23035,0
68,171,23093,1
72,171,23270,0
73,170,23279,0
69,170,23339,1
72,170,23379,0
71,172,23423,0
69,171,23425,1
73,169,23501,0
73,170,23535,0
69,172,23542,1
70,170,23572,1
74,170,23621,0
70,172,23637,1
71,170,23661,1
72,170,23721,1
74,169,23722,0
70,171,23753,1
73,171,23825,0
75,169,23979,0
71,171,24106,1
72,170,24172,1
75,169,24193,0
75,170,24222,0
76,169,24295,0
72,171,24364,1
74,170,24406,0
73,170,24427,1
68,173,24458,1
76,168,24514,0
77,169,24671,0
77,168,24691,0
74,170,24697,1
75,169,24734,1
73,170,24741,1
74,169,24752,1
73,169,24758,1
76,170,24805,0
78,168,24961,0
74,170,24992,1
79,168,25217,0
77,169,25270,0
75,169,25274,1
78,168,25307,0
75,170,25329,1
78,169,25339,0
79,167,25369,0
80,168,25573,0
80,167,25632,0
79,168,25663,0
77,169,25749,1
76,169,25752,1
76,168,25890,1
81,167,25897,0
79,169,25922,0
78,168,25951,1
77,168,26072,1
77,169,26075,1
80,168,26092,0
82,167,26183,0
81,167,26219,0
78,169,26266,1
79,168,26291,1
81,168,26318,0
79,169,26426,1
78,168,26434,1
82,166,26454,0
83,166,26530,0
80,166,26538,0
83,167,26547,0
82,167,26575,0
79,168,26591,1
81,166,26624,0
80,168,26688,1
80,167,26800,1
81,167,26800,1
84,166,26811,0
83,166,26842,0
82,168,26887,0
85,166,27113,0
84,166,27153,0
81,166,27189,1
84,165,27222,0
81,168,27227,1
83,166,27261,1
81,167,27267,1
85,165,27275,0
84,167,27285,0
82,167,27299,1
82,168,27330,1
86,166,27502,0
84,166,27506,1
86,165,27513,0
61,173,27535,1
82,166,27565,1
87,165,27715,0
85,167,27767,0
82,167,27799,1
80,168,27836,1
83,166,27946,1
88,165,28010,0
84,166,28029,1
84,167,28044,1
87,164,28059,0
87,165,28075,0
87,166,28132,0
85,165,28216,1
83,167,28218,1
88,164,28235,0
84,165,28245,1
76,170,28257,1
85,167,28305,1
87,165,28346,1
89,164,28426,0
86,165,28427,1
85,166,28464,1
89,165,28557,0
88,165,28563,0
90,164,28691,0
86,166,28738,1
88,166,28783,0
87,165,28823,1
91,164,28979,0
87,165,28999,1
87,166,29090,1
88,165,29101,1
87,164,29111,1
91,163,29151,0
90,165,29159,0
88,164,29221,1
87,165,29243,1
88,166,29268,1
92,164,29369,0
92,163,29376,0
88,165,29484,1
89,164,29590,1
93,163,29623,0
89,165,29687,1
94,163,29946,0
92,164,29983,0
93,163,29993,0
93,164,29999,0
94,162,30028,0
90,164,30039,1
90,165,30141,1
95,162,30270,0
91,164,30317,1
91,163,30410,1
94,163,30432,0
95,163,30434,0
92,164,30462,1
94,164,30484,0
96,162,30550,0
92,163,30643,1
93,162,30648,0
93,163,30694,1
96,161,30923,0
97,162,30939,0
96,162,30941,0
97,161,30941,0
96,163,30971,0
93,163,31004,1
94,163,31048,1
93,164,31173,1
98,161,31231,0
94,163,31347,1
97,161,31350,0
98,162,31377,0
93,162,31396,1
99,161,31479,0
95,163,31543,1
96,162,31548,1
98,161,31553,0
97,163,31657,0
97,161,31664,1
95,162,31738,1
100,161,31745,0
99,161,31841,0
96,162,31873,1
98,161,31877,1
100,160,31954,0
99,162,31963,0
96,163,32036,1
101,160,32090,0
101,161,32111,0
94,164,32114,1
97,162,32127,1
100,161,32223,0
98,161,32297,1
102,160,32315,0
97,161,32459,1
100,162,32472,0
101,160,32514,0
98,162,32516,1
99,161,32519,1
102,159,32625,0
103,160,32657,0
102,160,32662,0
102,161,32808,0
101,160,32811,1
103,159,32820,0
101,161,32840,0
99,161,32855,1
100,160,32983,1
100,161,32986,1
96,161,33033,1
104,159,33122,0
103,160,33137,0
101,161,33233,1
105,159,33377,0
98,161,33413,1
101,160,33421,1
104,160,33440,0
102,160,33445,1
94,162,33571,1
105,158,33616,0
102,159,33649,1
106,159,33723,0
106,158,33767,0
102,160,33767,1
103,160,33864,1
103,159,33941,1
105,160,33942,0
107,158,33960,0
107,159,34149,0
104,160,34235,1
104,160,34235,1
107,158,34243,0
108,158,34279,0
104,159,34358,1
108,157,34559,0
105,160,34598,1
109,158,34615,0
109,157,34678,0
105,159,34705,1
107,159,34711,0
106,158,34892,1
108,159,34914,0
110,157,34941,0
105,158,34994,1
107,158,35054,1
106,159,35078,1
107,159,35121,1
109,158,35255,0
111,157,35259,0
111,156,35358,0
110,158,35391,0
110,156,35408,0
107,158,35431,1
112,156,35491,0
112,157,35541,0
108,157,35597,1
108,159,35626,1
108,158,35640,1
109,158,35729,1
109,157,35729,1
112,156,35762,0
113,156,35857,0
111,158,35979,0
110,157,36075,1
