Unnamed: 0,nframe_91715441100,absframe_91715441100,x0_91715441100,y0_91715441100,area_91715441100,yadj_91715441100,flower_91715441100,visit_num_91715441100,sx_91715441100,sy_91715441100,speeds_91715441100
0,0,469904,272.0,917.0,1144.0,163.0,,,272.0,163.0,26.004807247891687
1,1,469905,324.0,918.0,795.0,162.0,,,298.0,162.5,26.06455660683893
2,2,469906,376.0,923.0,1125.0,157.0,,,324.0,160.66666666666666,52.799410771122965
3,3,469907,429.0,938.0,485.0,142.0,,,376.3333333333333,153.66666666666666,47.239343301485015
4,4,469908,464.0,940.0,1485.0,140.0,,,423.0,146.33333333333334,40.928121275122216
5,5,469909,496.0,949.0,1004.0,131.0,,,463.0,137.66666666666666,29.154759474226505
6,6,469910,516.0,947.0,899.0,133.0,,,492.0,134.66666666666666,28.94439112812321
7,7,469911,548.0,962.0,1313.0,118.0,,,520.0,127.33333333333331,23.194827009486403
8,8,469912,565.0,958.0,1620.0,122.0,,,543.0,124.33333333333331,17.44833643773657
9,9,469913,568.0,953.0,1612.0,127.0,,,560.3333333333334,122.33333333333331,8.069145624606744
10,10,469914,567.0,947.0,1574.0,133.0,,,566.6666666666666,127.33333333333331,6.57436097443864
11,11,469915,555.0,941.0,1360.0,139.0,,,563.3333333333334,133.0,7.810249675906654
12,12,469916,550.0,938.0,1014.0,142.0,,,557.3333333333334,138.0,8.66666666666667
13,13,469917,543.0,937.0,1113.0,143.0,,,549.3333333333334,141.33333333333334,6.8718427093627765
14,14,469918,542.0,925.0,1324.0,155.0,,,545.0,146.66666666666666,7.007932013876214
15,15,469919,549.0,917.0,1612.0,163.0,,,544.6666666666666,153.66666666666666,11.822765233978814
16,16,469920,556.0,904.0,1611.0,176.0,2.0,1.0,549.0,164.66666666666666,8.412952976082622
17,17,469921,556.0,904.0,1443.0,176.0,2.0,1.0,553.6666666666666,171.66666666666666,4.47213595499958
18,18,469922,555.0,905.0,1416.0,175.0,2.0,1.0,555.6666666666666,175.66666666666666,1.201850425154642
19,19,469923,554.0,907.0,1348.0,173.0,2.0,1.0,555.0,174.66666666666666,1.0540925533894718
20,20,469924,555.0,907.0,1336.0,173.0,2.0,1.0,554.6666666666666,173.66666666666666,1.0540925533894718
21,21,469925,556.0,908.0,1373.0,172.0,2.0,1.0,555.0,172.66666666666666,0.94280904158203
22,22,469926,556.0,909.0,1291.0,171.0,2.0,1.0,555.6666666666666,172.0,0.745355992500002
23,23,469927,557.0,908.0,1346.0,172.0,2.0,1.0,556.3333333333334,171.66666666666666,0.0
24,24,469928,556.0,908.0,1303.0,172.0,2.0,1.0,556.3333333333334,171.66666666666666,0.3333333333333428
